"title","artist","album","duration_seconds","audio_url"
"Slowburn","Zambolino","Rock","126","https://data.freetouse.com/music/tracks/a97ec58e-b099-497c-9d3f-270403406104/file/mp3/file.mp3"
"Better Days","Bluewave","Inspirational","166","https://data.freetouse.com/music/tracks/b6b6e570-a1ae-4f64-bb86-1561d7ca9eb5/file/mp3/file.mp3"
"Ocean Time","Calima","Easy Listening","146","https://data.freetouse.com/music/tracks/dbfa2f2d-2414-4839-8fe1-7900068ee859/file/mp3/file.mp3"
"Full Moon","Calima","Easy Listening","140","https://data.freetouse.com/music/tracks/5b34cebb-5a70-493b-90d0-0bd82d7f2fa7/file/mp3/file.mp3"
"Starry Night","Calima","Easy Listening","140","https://data.freetouse.com/music/tracks/149e4202-f3c5-4b3d-b3a5-0f7d37a1d1bb/file/mp3/file.mp3"
"Forest Zen","Calima","Easy Listening","137","https://data.freetouse.com/music/tracks/cd0e5721-13f0-4740-ba14-949773603930/file/mp3/file.mp3"
"Homecoming","Calima","Easy Listening","129","https://data.freetouse.com/music/tracks/2d0f167b-b8a1-433a-806d-c0df2c2e556f/file/mp3/file.mp3"
"Autumn Bliss","Calima","Easy Listening","137","https://data.freetouse.com/music/tracks/df477a9c-80e6-49b1-abda-a678155676d7/file/mp3/file.mp3"
"Spring Flow","Calima","Easy Listening","152","https://data.freetouse.com/music/tracks/99631c37-c0c8-4918-95cd-d8c05dd2cce3/file/mp3/file.mp3"
"Silence of the Night Forest","Calima","Easy Listening","146","https://data.freetouse.com/music/tracks/a3fc559a-3e02-41dd-9f05-868cd9a09594/file/mp3/file.mp3"
"Glass Shop","Calima","Easy Listening","145","https://data.freetouse.com/music/tracks/6efa949e-080a-43bc-8980-1b2085ef700a/file/mp3/file.mp3"
"Himalayas","Calima","Easy Listening","159","https://data.freetouse.com/music/tracks/0ba920f0-3ab3-444a-bc35-b6a05702e382/file/mp3/file.mp3"
"Beautiful Life","Johny Grimes","Instrumental","164","https://data.freetouse.com/music/tracks/b5cc20fc-7b0d-41cc-b048-90b43cb6ae68/file/mp3/file.mp3"
"Big Deal","HiLau","Electronic","188","https://data.freetouse.com/music/tracks/b3ff64a5-7fcc-45e3-8748-70539f1229c6/file/mp3/file.mp3"
"Eternal Rise","Nebulite","Soundtrack","105","https://data.freetouse.com/music/tracks/87e28ee3-818a-4416-81be-70760bfacabe/file/mp3/file.mp3"
"Monday Routine","Aventure","Easy Listening","143","https://data.freetouse.com/music/tracks/c7c31884-f971-4430-8190-31b1f79f3e68/file/mp3/file.mp3"
"Ophelia","Zambolino","Electronic","106","https://data.freetouse.com/music/tracks/39e028e3-fe03-4286-9ab9-8d436a2a45cc/file/mp3/file.mp3"
"Insidious","Pufino","Instrumental","139","https://data.freetouse.com/music/tracks/b87e5651-ec4f-47fa-990e-4d2dbc057e23/file/mp3/file.mp3"
"Subtle Progression","Bluewave","Inspirational","158","https://data.freetouse.com/music/tracks/9eeb2a91-885c-4256-b71e-d2a7f5476d23/file/mp3/file.mp3"
"farlands","massobeats","Instrumental","156","https://data.freetouse.com/music/tracks/a230a236-50ef-482b-86e1-856fd400b212/file/mp3/file.mp3"
"Lagoon","Johny Grimes","Electronic","134","https://data.freetouse.com/music/tracks/735f4c4d-fc34-489f-b76a-5a4738cc9e9e/file/mp3/file.mp3"
"Overdrive","Nebulite","Rock","96","https://data.freetouse.com/music/tracks/ae01872e-4553-4569-bf06-f6ae375b1322/file/mp3/file.mp3"
"Riding The Wave","Zambolino","Rock","104","https://data.freetouse.com/music/tracks/222c77dc-08e7-4fb1-9cac-01f25612c3ef/file/mp3/file.mp3"
"The Sun's Ray","Aventure","Hip Hop/Rap","148","https://data.freetouse.com/music/tracks/8f23c45b-2d10-4be2-adef-5a19c6436159/file/mp3/file.mp3"
"Supernova","Alegend","Soundtrack","174","https://data.freetouse.com/music/tracks/90a07fa6-db72-4165-8d4c-37c700416ac6/file/mp3/file.mp3"
"Geography","Aylex","Soundtrack","120","https://data.freetouse.com/music/tracks/a5b2e60b-03b4-463e-98cb-dcdb04e5e1aa/file/mp3/file.mp3"
"Cassette Groove","Aventure","Hip Hop/Rap","167","https://data.freetouse.com/music/tracks/aac3e875-3fe7-4a91-b3a9-d651d7bb12e7/file/mp3/file.mp3"
"Christmas Time","Nebulite","Instrumental","149","https://data.freetouse.com/music/tracks/63237a9c-87e8-4df5-88db-ae308097b355/file/mp3/file.mp3"
"Childhood","Aventure","Hip Hop/Rap","161","https://data.freetouse.com/music/tracks/c3b4be4a-e39a-4d07-bee9-dcac7986eefd/file/mp3/file.mp3"
"Wedding Waltz","Nebulite","Classical","134","https://data.freetouse.com/music/tracks/f0242b85-3b87-4590-89a0-606e0aa1eb66/file/mp3/file.mp3"
"once was","massobeats","Instrumental","151","https://data.freetouse.com/music/tracks/7fea0d46-b7f1-49c0-b6a5-0a5c39a02a7c/file/mp3/file.mp3"
"Urban Pulse","Dagored","Hip Hop/Rap","110","https://data.freetouse.com/music/tracks/9d94da4c-d04b-4668-bf5f-e6f494afff10/file/mp3/file.mp3"
"Coffee & Vinyl","Aventure","Hip Hop/Rap","143","https://data.freetouse.com/music/tracks/3b8280eb-dc65-4288-96db-d2f36de03cc9/file/mp3/file.mp3"
"Sneaky Robber","Walen","Comedy","99","https://data.freetouse.com/music/tracks/87f2cdfe-f087-4325-8b7b-60274a90f0cb/file/mp3/file.mp3"
"First Days of Spring","Zambolino","Classical","86","https://data.freetouse.com/music/tracks/1e14299b-94db-4b19-aa5b-4f8a4f27ad5d/file/mp3/file.mp3"
"Iron Pulse","Nebulite","Rock","163","https://data.freetouse.com/music/tracks/023061e4-1711-4a44-b019-93374be13772/file/mp3/file.mp3"
"Easy Tone","Aventure","Instrumental","141","https://data.freetouse.com/music/tracks/f60f7301-5291-4142-afd7-53ab36f83ef9/file/mp3/file.mp3"
"Moving Forward","Bluewave","Inspirational","150","https://data.freetouse.com/music/tracks/c19cf4da-9d2a-4918-a5e0-046bec5f0487/file/mp3/file.mp3"
"Conspiracy Detective","Walen","Instrumental","148","https://data.freetouse.com/music/tracks/6ffd1828-93c1-4349-abc9-223fcd0f327f/file/mp3/file.mp3"
"Pixel Duck","Johny Grimes","Easy Listening","172","https://data.freetouse.com/music/tracks/c793b370-25cf-46d5-a88f-559a554338d1/file/mp3/file.mp3"
"Bazar","Zambolino","Electronic","90","https://data.freetouse.com/music/tracks/cffa4586-e7ce-4b1a-960a-2c52dfb80adc/file/mp3/file.mp3"
"Soft Morning","Aventure","Instrumental","166","https://data.freetouse.com/music/tracks/8b55c2b4-9640-486b-bd5f-b1ee9807b420/file/mp3/file.mp3"
"Long Journey Home","Johny Grimes","Orchestral","158","https://data.freetouse.com/music/tracks/90b3be4f-9aae-4066-8b50-87fd66aa4eee/file/mp3/file.mp3"
"Cosmic Whale","Johny Grimes","Easy Listening","142","https://data.freetouse.com/music/tracks/e8300827-633c-4d4e-82a2-3470e328a3e7/file/mp3/file.mp3"
"insomnia","numbthefeelings","New Age","89","https://data.freetouse.com/music/tracks/20c03c02-b1de-4eaf-92be-840136262933/file/mp3/file.mp3"
"Back To Synthwave","Nebulite","Electronic","187","https://data.freetouse.com/music/tracks/40973ee4-4486-4513-9046-09d2749642b4/file/mp3/file.mp3"
"Sea Coastline","Spiring","Dance","157","https://data.freetouse.com/music/tracks/b1a5be56-2342-4681-8902-8caab6d59129/file/mp3/file.mp3"
"Stellar","Aventure","Instrumental","182","https://data.freetouse.com/music/tracks/7d57ea7a-85a8-4f71-97c8-7b777eaa02f6/file/mp3/file.mp3"
"Childhood Lost","Zambolino","Classical","76","https://data.freetouse.com/music/tracks/83c6cf9f-f398-4a61-88c3-fd48fe12724f/file/mp3/file.mp3"
"Sustainable","Aylex","Easy Listening","137","https://data.freetouse.com/music/tracks/7db903c2-9586-4533-8da2-93e2472f1207/file/mp3/file.mp3"
"redemption","numbthefeelings","New Age","106","https://data.freetouse.com/music/tracks/c09dc2c5-5bb1-4fb1-843b-d074d1a7e265/file/mp3/file.mp3"
"Chillout","Sunborn","Electronic","139","https://data.freetouse.com/music/tracks/557e43c7-4ea2-4b65-b6ba-574653b4935a/file/mp3/file.mp3"
"Subtle Glow","Aventure","Instrumental","133","https://data.freetouse.com/music/tracks/1c4d9b3c-870c-41dc-8e01-c702a4520dc1/file/mp3/file.mp3"
"Sunny Trails","Dagored","Country","156","https://data.freetouse.com/music/tracks/0eb63b49-c1cf-4aac-92de-ae8f49a409c7/file/mp3/file.mp3"
"citrus","massobeats","Instrumental","136","https://data.freetouse.com/music/tracks/654e7631-341d-4af6-a40b-0f38039365c1/file/mp3/file.mp3"
"Funk It Up","AgusAlvarez","Electronic","166","https://data.freetouse.com/music/tracks/e3e7662b-72a2-41bc-ba6d-e071d8dd2850/file/mp3/file.mp3"
"Bosporus","Zambolino","World","108","https://data.freetouse.com/music/tracks/94218271-30aa-4669-bdd4-41ee5993f116/file/mp3/file.mp3"
"before dawn","numbthefeelings","New Age","100","https://data.freetouse.com/music/tracks/e7bb8d54-6e15-4b9e-8f95-77bacdf435f8/file/mp3/file.mp3"
"Close Friends","Aventure","Hip Hop/Rap","182","https://data.freetouse.com/music/tracks/77150365-316a-4acb-92c9-1d2fbb4766fe/file/mp3/file.mp3"
"Colossal","Aylex","Soundtrack","118","https://data.freetouse.com/music/tracks/d5aca868-0444-4ba1-86fc-7d91cd7676b6/file/mp3/file.mp3"
"Dreamy Cat","Johny Grimes","Easy Listening","183","https://data.freetouse.com/music/tracks/923cf9c0-fa29-49c6-8770-b318a5346fb4/file/mp3/file.mp3"
