title,artist,album,duration_seconds,audio_url,jamendo_track_id,jamendo_album_id
Wish You Were Here,The.madpix.project,Wish You Were Here,270,https://prod-1.storage.jamendo.com/?trackid=1214935&format=mp32&from=xyfDGxcjPRqtUMCgMcH5cA%3D%3D%7CZI2r7pN75T7TrM0eyNn5CQ%3D%3D,1214935,145774
RED LIGHT,Egor Budennyy,RED LIGHT,190,https://prod-1.storage.jamendo.com/?trackid=1932670&format=mp32&from=x0DlhefAb4EDAlhtEz5RHQ%3D%3D%7ChNjJlj%2F6kZCanN8SkUVFEA%3D%3D,1932670,477294
What Is Love,Melanie Ungar,What Is Love,212,https://prod-1.storage.jamendo.com/?trackid=1204669&format=mp32&from=vp97xBr2gFhpYbFrbcmFHA%3D%3D%7ChYcT0bOpNo3YpuWc6fOSXw%3D%3D,1204669,144705
Love Will Come Back Again,Chaz Robinson,Chaz Robinson,236,https://prod-1.storage.jamendo.com/?trackid=1141572&format=mp32&from=Qv0SCTtD3Bb2C4v5gdASQw%3D%3D%7CjsCOJoS%2FLeBjdyYWYzMQ3A%3D%3D,1141572,136930
First,JekK,Dear Dreams,204,https://prod-1.storage.jamendo.com/?trackid=1157362&format=mp32&from=G3Nsg21O5EXld8TDVeTvjg%3D%3D%7CSf7CkT2MWZHXh8Fs5T%2FpEQ%3D%3D,1157362,138887
In Tune (J. Glaze Remix),Kellee Maize,The Remixes (2015),346,https://prod-1.storage.jamendo.com/?trackid=1161940&format=mp32&from=iY%2BJMNZvXqaaU1RuEPa0pg%3D%3D%7C2pB%2FtcbDQUizvltiR7qyOg%3D%3D,1161940,139585
Energy,Pokki DJ,Energy,230,https://prod-1.storage.jamendo.com/?trackid=1129271&format=mp32&from=kGhzooZITGbVnE4mOsymJA%3D%3D%7CVHQ2guguOirlIQmQ5FBYDw%3D%3D,1129271,135310
Music Soothe - Meditation Music,StimiBeats,Impression - Meditation Music,216,https://prod-1.storage.jamendo.com/?trackid=2034080&format=mp32&from=vzWds6mmThVIPToKLkUQ3Q%3D%3D%7Ct0s6eKHRzkorEifnzOKefg%3D%3D,2034080,522038
You and Me,JekK,Dear Dreams,194,https://prod-1.storage.jamendo.com/?trackid=1157358&format=mp32&from=E8wfX6NBTU6fuTcglhTXHA%3D%3D%7C5pQbX%2BjwnfQtASgOhP0jYg%3D%3D,1157358,138887
Survive,JekK,Roses,163,https://prod-1.storage.jamendo.com/?trackid=1353511&format=mp32&from=bFtDxYPYJyJmIae0OFuOcw%3D%3D%7CdRvtosqFyra78E0dPP4rhw%3D%3D,1353511,159568
"Boys, Girls, Toys & Words",Modern Pitch,Eye Of The Storm,357,https://prod-1.storage.jamendo.com/?trackid=1165005&format=mp32&from=ZCZMe2Yu%2BvvCHHKvFXY40Q%3D%3D%7CyN30B1EiIlJ8fSeXxjTqxg%3D%3D,1165005,140048
Crazy Glue,Melanie Ungar,Crazy Glue,220,https://prod-1.storage.jamendo.com/?trackid=1480482&format=mp32&from=tyB7w7jAZ36YIhKLOrJx0w%3D%3D%7C71ZpsuxDRjd0lVbnh0j5eQ%3D%3D,1480482,292101
Human Light,John Dada & the Weathermen,folK.itUp,234,https://prod-1.storage.jamendo.com/?trackid=1194315&format=mp32&from=Igwr8ehy2%2BKxD3MNTdBJmA%3D%3D%7ClXedvSgObx6eu3TU8MDn3Q%3D%3D,1194315,143735
Strong,JekK,Strong,187,https://prod-1.storage.jamendo.com/?trackid=1528165&format=mp32&from=OpGh4cal%2BE82VmcENJQb2Q%3D%3D%7CatJvSu3XmU8rsbGrxP5xYg%3D%3D,1528165,175186
We'll Light The Sky,Lyonn,We'll Light The Sky,168,https://prod-1.storage.jamendo.com/?trackid=1215788&format=mp32&from=IotlIObE%2FLKlDfiBbreN1w%3D%3D%7CdTcmurmeqOOcZ7T34Ioqdg%3D%3D,1215788,145856
Sweet,Tamara Laurel,Lightning,214,https://prod-1.storage.jamendo.com/?trackid=1122085&format=mp32&from=nnsrDFySCw3LfY6C%2BsAHcQ%3D%3D%7CoBTZKBd1bUciINg8477G3w%3D%3D,1122085,134086
Good Old Times,Alex Cohen,Good Old Times,145,https://prod-1.storage.jamendo.com/?trackid=1436621&format=mp32&from=HLi5Sb51Pnj8Do1XTPOEBA%3D%3D%7CxxqAwDk1QwVaZzmu4DiJeQ%3D%3D,1436621,257320
Struttin',Tryad,Listen,242,https://prod-1.storage.jamendo.com/?trackid=26736&format=mp32&from=ZVxkCp3qNaMmvFzhfav5Gw%3D%3D%7C15SEemXc9FlVB9lwHIf%2BBw%3D%3D,26736,3661
Skydiving (feat. Jasmine Kara),Jonay,Skydiving,247,https://prod-1.storage.jamendo.com/?trackid=354778&format=mp32&from=V4Ur9VPA4x6GeNx%2BjCReFA%3D%3D%7C5TmtduhXCYiDuB8zWHKAkw%3D%3D,354778,46325
I Want You,Tamara Laurel,I Want You - Single,206,https://prod-1.storage.jamendo.com/?trackid=1031187&format=mp32&from=NNEfBD%2BFlNoPe1W7LKFUSg%3D%3D%7CE36FjnRY2Eb1TMYblBjMUg%3D%3D,1031187,121316
Possibilities,Jasmine Jordan,Time Travel EP,210,https://prod-1.storage.jamendo.com/?trackid=1230403&format=mp32&from=Bhhhwq6JaifOJxHRPgX9oQ%3D%3D%7CRxEb%2F2wY08DSP0P%2B6SbnAg%3D%3D,1230403,147554
I Want You,Neon NiteClub,After Hours,248,https://prod-1.storage.jamendo.com/?trackid=1187780&format=mp32&from=DGbnkaDPcPshf8DwfIwqPg%3D%3D%7CLQVO68zJ0fMlTcsB17IYhA%3D%3D,1187780,142959
Alone,Tryad,Listen,256,https://prod-1.storage.jamendo.com/?trackid=26738&format=mp32&from=mTkgnZwexiKiPo4Ld5Teww%3D%3D%7CpeLXPiHsMHikECvJoJbx9g%3D%3D,26738,3661
Alone,Color Out,Alone,245,https://prod-1.storage.jamendo.com/?trackid=1886257&format=mp32&from=m%2BDkFHe%2FOw5DD6pz797dbQ%3D%3D%7CzB47xiMqMU%2B2XRCkFhGDQg%3D%3D,1886257,455221
